dataset,leakage_category,duplicate_count,md5_hash,file_pairs
eye,TRAIN_TEST_LEAKAGE,2,b59a05770d8cd7d82287b1ef11e5eeec,[train:G] Glaucoma125.jpg <==> [test:M] Myopia102.jpg
eye,TRAIN_TEST_LEAKAGE,2,923c4985a650f90cde80ef016a0a0c0a,[train:G] Glaucoma1280.jpg <==> [test:M] Myopia76.jpg
eye,TRAIN_TEST_LEAKAGE,2,307c5655aa02024d4802e641ac63b628,[train:G] Glaucoma143.jpg <==> [test:M] Myopia113.jpg
eye,TRAIN_TEST_LEAKAGE,2,dd769a515da60791298894e677e10b82,[train:G] Glaucoma379.jpg <==> [test:M] Myopia164.jpg
eye,TRAIN_TEST_LEAKAGE,2,c8ab71f43eecb841aae24e4e8210c567,[train:G] Glaucoma398.jpg <==> [test:M] Myopia171.jpg
eye,TRAIN_TEST_LEAKAGE,2,0a27d6b12ff91ccc26b52400a43944b5,[train:G] Glaucoma455.jpg <==> [test:M] Myopia189.jpg
eye,TRAIN_TEST_LEAKAGE,2,fcbd5f5af68ec5cb9505b3de515e5b3c,[train:G] Glaucoma518.jpg <==> [test:M] Myopia198.jpg
eye,TRAIN_TEST_LEAKAGE,2,6fa9c8c6521333cb7c8949a6ba532f0d,[train:G] Glaucoma623.jpg <==> [test:M] Myopia256.jpg
eye,TRAIN_TEST_LEAKAGE,2,53838f998cfb54129ec161fa7b5fa3cb,[train:G] Glaucoma628.jpg <==> [test:D] DR597.jpg
eye,TRAIN_TEST_LEAKAGE,2,11e175a99cd9afaaf04c7ff42db567d0,[train:G] Glaucoma644.jpg <==> [test:M] Myopia273.jpg
eye,TRAIN_TEST_LEAKAGE,2,82c539ef8c963d39142643de2cd8eef4,[train:G] Glaucoma666.jpg <==> [test:M] Myopia281.jpg
eye,TRAIN_TEST_LEAKAGE,2,f76ea7c2d7afa1faf5c504e46ce70c10,[train:G] Glaucoma697.jpg <==> [test:M] Myopia307.jpg
eye,TRAIN_TEST_LEAKAGE,2,a9c66ad5df51e2b57c05fa099497e975,[train:G] Glaucoma724.jpg <==> [test:M] Myopia337.jpg
eye,TRAIN_TEST_LEAKAGE,2,80e52b83eff7acca408871fea6ff8fcf,[train:G] Glaucoma744.jpg <==> [test:M] Myopia352.jpg
eye,TRAIN_TEST_LEAKAGE,2,6ff41219f57ff2bc5483051d9484e7fa,[train:M] Myopia101.jpg <==> [test:G] Glaucoma123.jpg
eye,TRAIN_TEST_LEAKAGE,2,49d94709e7b463253b168d902506ce37,[train:M] Myopia139.jpg <==> [test:G] Glaucoma294.jpg
eye,TRAIN_TEST_LEAKAGE,2,d4df6b10066edbcd11e2711753258972,[train:M] Myopia153.jpg <==> [test:G] Glaucoma350.jpg
eye,TRAIN_TEST_LEAKAGE,2,72252ba311dc6e934ab41aefc5fce870,[train:M] Myopia157.jpg <==> [test:G] Glaucoma361.jpg
eye,TRAIN_TEST_LEAKAGE,2,93254165af45f3ce3095646876e82bdc,[train:M] Myopia172.jpg <==> [test:G] Glaucoma405.jpg
eye,TRAIN_TEST_LEAKAGE,2,52afe917cc98fb24fd87de9d8457639e,[train:M] Myopia181.jpg <==> [test:G] Glaucoma423.jpg
eye,TRAIN_TEST_LEAKAGE,2,bb7be37b5451e40308f397d7f10b86ca,[train:M] Myopia284.jpg <==> [test:G] Glaucoma668.jpg
eye,TRAIN_TEST_LEAKAGE,2,3bd186d4d4444a94aa31bc4c1454ce0e,[train:M] Myopia30.jpg <==> [test:G] Glaucoma1099.jpg
eye,TRAIN_TEST_LEAKAGE,2,778937ac5efa8433ad08c2ac0788e981,[train:M] Myopia393.jpg <==> [test:G] Glaucoma804.jpg
eye,TRAIN_TEST_LEAKAGE,2,345d45947ec3064685d970b2ce42f6b8,[train:M] Myopia50.jpg <==> [test:G] Glaucoma1190.jpg
eye,TRAIN_TEST_LEAKAGE,2,36ffa6d43931891467788d8a3cd8de3f,[train:M] Myopia87.jpg <==> [test:G] Glaucoma27.jpg
eye,TRAIN_TEST_LEAKAGE,2,b2f876094eb05b2dd77c077359630370,[train:M] Myopia93.jpg <==> [test:G] Glaucoma70.jpg
eye,TRAIN_VAL_LEAKAGE,2,85df20bc27413b092e1e4ac69177d22f,[train:D] DR571.jpg <==> [validation:M] Myopia244.jpg
eye,TRAIN_VAL_LEAKAGE,2,6e9fe8283d41d0f0cba8290cfe85a9da,[train:D] DR992.jpg <==> [validation:G] Glaucoma984.jpg
eye,TRAIN_VAL_LEAKAGE,2,ab2e4b4d42b07fc79187e09affeadf68,[train:G] Glaucoma1039.jpg <==> [validation:M] Myopia16.jpg
eye,TRAIN_VAL_LEAKAGE,2,4b69e207dc57dded72adda2d46c260c2,[train:G] Glaucoma1162.jpg <==> [validation:M] Myopia43.jpg
eye,TRAIN_VAL_LEAKAGE,2,eef30e4f58459c1be5c42a59547f4dc3,[train:G] Glaucoma1215.jpg <==> [validation:M] Myopia60.jpg
eye,TRAIN_VAL_LEAKAGE,2,da8a2c37ea8c2ecb6288d67f5ee6c1de,[train:G] Glaucoma1251.jpg <==> [validation:M] Myopia72.jpg
eye,TRAIN_VAL_LEAKAGE,2,e97eefe654e44decf7af2ecd13cc8ee3,[train:G] Glaucoma1332.jpg <==> [validation:M] Myopia82.jpg
eye,TRAIN_VAL_LEAKAGE,2,fdf505beddadf1ff823fc9998c5889ea,[train:G] Glaucoma528.jpg <==> [validation:M] Myopia199.jpg
eye,TRAIN_VAL_LEAKAGE,2,7b5a203ad3e83b107fb2b80681e27b56,[train:G] Glaucoma565.jpg <==> [validation:M] Myopia211.jpg
eye,TRAIN_VAL_LEAKAGE,2,1fc635b7c556a0160cbbb914efb87dcf,[train:G] Glaucoma585.jpg <==> [validation:M] Myopia230.jpg
eye,TRAIN_VAL_LEAKAGE,2,f528340a10f7ff8bc874973c9108a8d5,[train:G] Glaucoma685.jpg <==> [validation:M] Myopia294.jpg
eye,TRAIN_VAL_LEAKAGE,2,ad7006d0b85e3cd1e5cedcf4906cab59,[train:G] Glaucoma758.jpg <==> [validation:M] Myopia369.jpg
eye,TRAIN_VAL_LEAKAGE,2,47aa8f3bf59e974354d601d5e490fd04,[train:G] Glaucoma834.jpg <==> [validation:D] DR855.jpg
eye,TRAIN_VAL_LEAKAGE,2,4b48d5e019d71587b6ef925b065efecb,[train:M] Myopia130.jpg <==> [validation:G] Glaucoma274.jpg
eye,TRAIN_VAL_LEAKAGE,2,f4a6716a945cce582b75a7ed9eb897ca,[train:M] Myopia133.jpg <==> [validation:G] Glaucoma276.jpg
eye,TRAIN_VAL_LEAKAGE,2,e351feb24efd0f34ea9be6a534c21e34,[train:M] Myopia156.jpg <==> [validation:G] Glaucoma362.jpg
eye,TRAIN_VAL_LEAKAGE,2,a83d69d9024e74eaea554bc88bb6e12e,[train:M] Myopia176.jpg <==> [validation:G] Glaucoma421.jpg
eye,TRAIN_VAL_LEAKAGE,2,99484a519d5a83566ae2f74c4b3d2d03,[train:M] Myopia179.jpg <==> [validation:G] Glaucoma425.jpg
eye,TRAIN_VAL_LEAKAGE,2,b090d5b144cf0dca54f5da82100e7922,[train:M] Myopia231.jpg <==> [validation:G] Glaucoma584.jpg
eye,TRAIN_VAL_LEAKAGE,2,f6c3e3f3be512a05426371d15d195998,[train:M] Myopia245.jpg <==> [validation:D] DR572.jpg
eye,TRAIN_VAL_LEAKAGE,2,422fa87c1d70ff160376afd838627998,[train:M] Myopia271.jpg <==> [validation:G] Glaucoma643.jpg
eye,TRAIN_VAL_LEAKAGE,2,dd6d0050d0f9217c75b48adcac05a4a9,[train:M] Myopia31.jpg <==> [validation:G] Glaucoma1106.jpg
eye,TRAIN_VAL_LEAKAGE,2,6529033cbe802d960058b314c49ecae8,[train:M] Myopia371.jpg <==> [validation:G] Glaucoma757.jpg
eye,TRAIN_VAL_LEAKAGE,2,86b33dc03adc8a4cf67b31a06ef12566,[train:M] Myopia390.jpg <==> [validation:G] Glaucoma803.jpg
eye,TRAIN_VAL_LEAKAGE,2,4adb2f22d2783874e956a1ae1fa57fcc,[train:M] Myopia399.jpg <==> [validation:G] Glaucoma809.jpg
eye,TRAIN_VAL_LEAKAGE,2,2486587881618e2f9ed2e70f16db70ac,[train:M] Myopia500.jpg <==> [validation:G] Glaucoma1000.jpg
eye,TRAIN_VAL_LEAKAGE,2,15f007c435328547b764754acb4781fe,[train:M] Myopia52.jpg <==> [validation:G] Glaucoma1192.jpg
eye,TRAIN_VAL_LEAKAGE,2,da42b27354f26437a940b6277b53e74d,[train:M] Myopia94.jpg <==> [validation:G] Glaucoma92.jpg
eye,VAL_TEST_LEAKAGE,2,d819e76ea9b8a9518ffd2f586f52275c,[validation:G] Glaucoma138.jpg <==> [test:M] Myopia112.jpg
eye,VAL_TEST_LEAKAGE,2,60dc7d701923867d35d4e347fefacfea,[validation:G] Glaucoma390.jpg <==> [test:M] Myopia166.jpg
eye,VAL_TEST_LEAKAGE,2,5bd3e3b879f15ffae9971b623aef51fc,[validation:M] Myopia407.jpg <==> [test:G] Glaucoma812.jpg
eye,VAL_TEST_LEAKAGE,2,b715edac4e4bffb0e14bb370c91d6114,[validation:M] Myopia472.jpg <==> [test:G] Glaucoma882.jpg
eye,WITHIN_SPLIT_DUPLICATE,2,0429772825c775bf1fa4cf946387dc31,[train:D] DR1447.jpg <==> [train:G] Glaucoma78.jpg
eye,WITHIN_SPLIT_DUPLICATE,2,bc4a0e034ade6feffdbecc8dd9c21423,[train:D] DR1448.jpg <==> [train:G] Glaucoma77.jpg
